Category Type,Category,Quote,Criteria,Direction,QA Status,Notes
Actor,AI Developer (General-purpose AI),"AI Developers, both general-purpose and specialized, are primarily responsible due to their direct role in creating systems that could be misused for cyberattacks or weapon development.",Responsibility,Higher,complete,
Actor,AI Developer (Specialized AI),"AI Developers, both general-purpose and specialized, are primarily responsible due to their direct role in creating systems that could be misused for cyberattacks or weapon development.",Responsibility,Higher,complete,
Actor,AI Deployer,AI Deployers and Governance Actors are highly responsible as they control the deployment and regulation of these systems.,Responsibility,Higher,complete,
Actor,AI Governance Actor,AI Deployers and Governance Actors are highly responsible as they control the deployment and regulation of these systems.,Responsibility,Higher,complete,
Actor,AI User,"AI Users have moderate responsibility since their usage can influence outcomes, but they typically do not control system design.",Responsibility,Lower,complete,
Actor,AI Infrastructure Provider,Infrastructure Providers have moderate responsibility due to their role in enabling system operations.,Responsibility,Higher,complete,
Actor,Affected Stakeholder,Affected Stakeholders are minimally responsible as they are impacted by the systems but do not influence their development or deployment.,Responsibility,Lower,complete,
Actor,General,"'- I assume no actor/sector is not at all vulnerable. Although the use of AI-empowered cyberattacks and weapons are likely to be targeted, there is a non-trivial risk of collateral damage.",Vulnerability,Higher,complete,
Actor,General,"- I assume sectors that have significant financial assets, access to sensitive information, and/or relate to national security are more vulnerable.",Vulnerability,Higher,complete,
Actor,General,"No actor is not at all responsible, as all actors have some capability to advocate for the alleviation against the use of AI systems for Cyberattacks, weapon development or use, and mass harm.",Responsibility,Lower,complete,
Actor,General,"Any organisation that operates critical infrastructure or handles highly sensitive data is highly vulnerable to cyber attacks, including civil society organisations, who often handle sensitive information of vulnerable people.",Vulnerability,Higher,complete,
Actor,General,Everyone is a target as cybercriminals leverage AI for faster novel attacks.,Vulnerability,Higher,complete,
Actor,General,"Critical infrastructure and high-profit sectors have more exposure, and may also be attacked by AI enabled nation-states and not just cybercriminals.",Vulnerability,Higher,complete,
Actor,General,Additional risks from out of control or misaligned agentic cyberweapons increases overall exposure.,Vulnerability,Higher,complete,
Actor,General,Defenders without AI capability of their own will be unlikely to keep up with AI enabled defenders.,Vulnerability,Higher,complete,
Actor,AI User,The user of the tool is primarily responsible.,Responsibility,Higher,complete,not a justification - remove
Actor,AI Deployer,"Tool enablement (the deployer) may also be primarily responsible, depending on policy around hacking tools as a service.",Responsibility,Higher,complete,
Actor,AI Governance Actor,"This brings governance into the picture, where accountability for actions taken by software must be defined. The Budapest Convention is a good step, but needs attention to deal with changing threat landscape with AI as well as other thorny issues it failed to address in its current form (looking at you - identity privacy, nation-state attacks, extortion and fraud).",Responsibility,Higher,complete,
Actor,AI Developer (General-purpose AI),"The ability to create tools to red team defenses should be preserved, and so model developers should be aware of, evaluate, and communicate the cyberoffensive capabilities of their products but are not really on the hook for their use, as it may be for defensive purposes.",Responsibility,"Lower, Higher",complete,
Actor,AI User,"AI users—especially specialized users such as engineers—carry significant responsibility for reporting jailbreaks, failures of AI systems to block malicious prompts, and other related issues. While such reporting might create opportunities for malicious actors to exploit these vulnerabilities, it at least provides AI developers with the chance to address them in a timely manner.",Responsibility,Higher,complete,
Actor,General,Strong whistleblower protections must also be established so that engineers within AI development companies can speak up if they notice the organization ignoring systemic failures to address serious security concerns.,Responsibility,Higher,complete,
Actor,General,Malicious Actors/Threat Actors - not vulnerable as they weaponize AI systems with intention to harm and are considered as the threat source,Vulnerability,Lower,complete,"this actor is not in our list, exclude"
Actor,National Security,"extremely vulnerable as they are miltiary units, defense contractors security agencies who will use AI to develop and deploy for nation security reasons, so they are prime targets",Vulnerability,Higher,complete,
Actor,General,"Any sector that is digitized would be vulnerable if cyber offensive capabilities outpace defensive strategies? And while compromising the science sector might be most helpful for adversaries to develop WMDs, their impact is sector-agnostic?",Vulnerability,Higher,complete,
Sector,Health Care and Social Assistance,Healthcare sector could be extremely vulnerable to being overburdened if new pathogens were created with the help of AI but would not compare to the toll on individual health of the people exposed to the pathogen?,Vulnerability,Higher,complete,
Actor,General,This risk category is quite challenging to rate using this scale,Vulnerability,Neutral,complete,"methods critique - not likely to be useful for experts to see and won't help them update their assessments, remove"
Actor,AI Governance Actor,Governance actors should be equally responsible for catastrophic risks because this is a public safety issue and allowing unchecked AI development is no longer simply negligent but an active abetment of this,Responsibility,Higher,complete,
Actor,General,How can we quantify vulnerability in this scenario - who is vulnerable to a malware author being able to produce malware faster (equivalent to improving their typing speed)?,Vulnerability,Neutral,complete,"methods critique - not useful for experts to see and won't help them update their assessments, remove"
Actor,General,"Many industries are still unprepared for human hackers from 20 years ago, let alone next generation exploits. Our society is built on legacy infrastructure, both physical and digital, and its not feasible to replace it all every few years as software changes.",Vulnerability,Higher,complete,
Actor,General,"These relate to WMDs and mass cyberattacks. Probability may be low, but every sector is vulnerable if they occur.",Vulnerability,Higher,complete,
Summary,AI Developer (General-purpose AI),"Comments consistently emphasized developers' primary to high responsibility for creating systems that could be misused, needing to implement safeguards against dual-use misuse, with one noting they should evaluate and communicate capabilities (higher responsibility) while not being fully on the hook for use, especially defensive purposes (lower responsibility).",Responsibility,Higher,,
Summary,AI Developer (General-purpose AI),"Comments noted developers face high vulnerability due to proximity to sensitive technologies, being at highest risk especially those working on specialized systems.",Vulnerability,Higher,,
Summary,AI Developer (Specialized AI),"Comments emphasized specialized developers' primary responsibility operating at the intersection of technical design and regulation in sensitive domains like defense and biotechnology, with direct proximity to offensive cybersecurity tools and weapon-control systems.",Responsibility,Higher,,
Summary,AI Developer (Specialized AI),"Comments characterized specialized developers as key targets and highly vulnerable due to proximity to model weights, deployment pathways, and sensitive technologies with potential for misuse.",Vulnerability,Higher,,
Summary,AI Deployer,"Comments consistently rated deployers as highly responsible for controlling deployment and regulation, with potential primary responsibility depending on policy around hacking tools as a service.",Responsibility,Higher,,
Summary,AI Governance Actor,"Comments overwhelmingly emphasized governance actors' primary responsibility since market won't solve this alone, with responsibility for defining accountability, catastrophic risk prevention, and establishing treaties and restrictions through international alliances.",Responsibility,Higher,,
Summary,AI Governance Actor,"Comments noted governance actors as highly vulnerable due to institutional lag, infiltration risk, misaligned oversight, and need for robust cybersecurity frameworks to prevent systemic failures.",Vulnerability,Higher,,
Summary,AI Infrastructure Provider,"Comments consistently noted infrastructure providers' high to moderate responsibility through infrastructure-level configurations that can contain or amplify risk, with opportunity to strengthen their role in managing risks.",Responsibility,Higher,,
Summary,AI Infrastructure Provider,Comments characterized infrastructure providers as key targets highly vulnerable due to proximity to model weights and deployment pathways.,Vulnerability,Higher,,
Summary,AI User,"Most comments characterized users as having minimal to moderate responsibility since they don't control system design, though some noted the tool user is primarily responsible and specialized users should report vulnerabilities.",Responsibility,Lower,,
Summary,AI User,"Some comments emphasized users bear primary responsibility as tool users, with specialized users having significant responsibility for reporting jailbreaks and failures.",Responsibility,Higher,,
Summary,Affected Stakeholder,"Comments consistently noted affected stakeholders have minimal responsibility as they are primarily exposed to harm without operational control, being impacted but not influencing development or deployment.",Responsibility,Lower,,
Summary,"Agriculture, Mining, Construction and Manufacturing",No specific vulnerability comments provided for these sectors regarding cyberattacks and mass harm.,Vulnerability,N/A,,
Summary,"Trade, Transportation, and Utilities",Comments consistently characterized transportation and utilities as extremely vulnerable as critical infrastructure and high-value targets frequently targeted by cyberattacks.,Vulnerability,Higher,,
Summary,Information,"Comments unanimously rated information as extremely vulnerable being foundational to AI development and data infrastructure, with any digitized sector vulnerable if offensive capabilities outpace defenses.",Vulnerability,Higher,,
Summary,Finance and Insurance,Comments consistently emphasized finance as extremely vulnerable as a frequent high-value target with significant financial assets where cyberattacks could have systemic impacts.,Vulnerability,Higher,,
Summary,Real Estate and Rental and Leasing,"Comments noted real estate as less directly affected, experiencing only marginal or indirect exposure compared to critical sectors.",Vulnerability,Lower,,
Summary,Professional and Technical Services,No specific vulnerability comments provided for professional services regarding cyberattacks and mass harm.,Vulnerability,N/A,,
Summary,Scientific Research and Development,"Comments consistently rated scientific research as highly to extremely vulnerable given its role in sensitive domains, being foundational to AI development, and potentially most helpful for adversaries developing WMDs.",Vulnerability,Higher,,
Summary,"Management, Administrative, and Support Services",No specific vulnerability comments provided for management and administrative services regarding cyberattacks and mass harm.,Vulnerability,N/A,,
Summary,Educational Services,No specific vulnerability comments provided for educational services regarding cyberattacks and mass harm.,Vulnerability,N/A,,
Summary,Health Care and Social Assistance,Comments unanimously characterized healthcare as extremely vulnerable as a frequent high-value target that could be overburdened if new pathogens were created with AI assistance.,Vulnerability,Higher,,
Summary,"Arts, Entertainment, and Recreation","Comments noted arts and entertainment as less directly affected, experiencing only marginal or indirect exposure compared to critical infrastructure.",Vulnerability,Lower,,
Summary,"Accommodation, Food, and Other Services","Comments characterized accommodation services as less directly affected, experiencing only marginal or indirect exposure.",Vulnerability,Lower,,
Summary,Public Administration excluding National Security,Comments consistently rated public administration as highly vulnerable given its role in sensitive domains and handling of critical government functions.,Vulnerability,Higher,,
Summary,National Security,"Comments unanimously emphasized national security as extremely vulnerable, being a critical area where AI weaponization could have catastrophic consequences, with military units and defense contractors as prime targets.",Vulnerability,Higher,,
