Category,Type,Quote,Criteria,Direction,,
Summary,AI Developer (Specialized AI),"Comments emphasized specialized developers have direct control over fine-tuned use cases with high responsibility, creating domain-specific models with moderate to high responsibility due to influence over targeted applications.",Responsibility,Higher,,
Summary,AI Deployer,"Comments consistently rated deployers as highly responsible for deciding how and where AI systems are used, making them responsible for preventing misuse. Comments noted platforms and publishers hosting concerned content should act fast to mitigate harm.",Responsibility,Higher,,
Summary,AI Deployer,Comments noted deployers face high vulnerability due to risk of integrating AI into sensitive environments without full safeguards.,Vulnerability,Higher,,
Summary,AI Governance Actor,"Comments emphasized governance actors' critical role in addressing fraud by setting rules that make fraud prevention possible and ensuring ethical AI use through policies and regulations. Multiple responses noted governance is required for establishing human versus non-human identity to combat fraud, though some suggested they lack agility for proactive prevention.",Responsibility,Higher,,
Summary,AI Governance Actor,"Comments characterized governance actors as less vulnerable thanks to oversight mechanisms, though indirect influence remains a concern.",Vulnerability,Lower,,
Summary,AI User,"Comments varied on user responsibility, noting users may be primary fraud actors with malicious actions, bearing high responsibility as intent determines outcome. However, one comment noted their control is limited compared to developers and deployers, making them moderately responsible. Comments emphasized both users' malicious actions and developers' inadequate security measures are responsible when AI is used for fraud.",Responsibility,Higher,,
Summary,AI Infrastructure Provider,"Comments varied on infrastructure providers' responsibility, with some noting they should be included when hosting models or APIs known to cause harm, while others characterized them as minimally responsible due to limited control over AI applications despite providing hardware and cloud services.",Responsibility,Lower,,
Summary,Affected Stakeholder,"Comments characterized affected stakeholders as minimally responsible, being impacted by AI misuse but not influencing its development or deployment.",Responsibility,Lower,,
Summary,Finance and Insurance,"Comments unanimously rated finance as extremely vulnerable due to reliance on data integrity and decision-making processes easily disrupted by AI-generated content. Multiple responses emphasized fraud against financial institutions through synthetic identities and deepfake CEO scams has systemic consequences undermining trust and consumer confidence, with money-motivated campaigns disproportionately affecting this sector.",Vulnerability,Higher,,
Summary,Health Care and Social Assistance,"Comments rated healthcare as extremely vulnerable due to reliance on data integrity and decision-making processes that can be easily disrupted by AI-generated content or manipulation, facing high stakes including harm to individuals.",Vulnerability,Higher,,
Summary,Information,"Comments characterized information sector as extremely vulnerable due to reliance on data integrity and decision-making processes easily disrupted by AI-generated content, facing high stakes including reputational damage.",Vulnerability,Higher,,
