Category,Type,Quote,Criteria ,Direction,
General,Commentary,"I don't think there are any clear differences between ecosystem actors and sectors. AI welfare concerns could lead to significant disruption if it leads to major changes in the kinds of systems that are used or the way that they are used, but I don't think the way in which the impact of this will vary across groups is predictable at this point.",General Vulnerability Comment,,
General,Commentary,"This part of the survey isn't working correctly, because AI welfare in the first instance affects AIs, not humans. So these questions will tend to get very low scores, which will suggest that AI welfare isn't a significant issue. But the scores will be irrelevant.",,,EXCLUDE - methodological critique
General,Commentary,I don't see how anyone would be vulnerable to risks if an AI is harmed. The point of AI welfare is to give AI rights irrespective of how it impacts humans. Analogous to animal rights.,General Vulnerability Comment,,
General,Commentary,This question makes no sense,,,EXCLUDE
General,Commentary,"This still makes no sense from my ethical perspective, answers would be inaccurate, exclude me from this section I think",,,EXCLUDE
Actor ,AI Deployer,Governance actors and deployers are critical in ensuring ethical AI use and thus carry high responsibility and vulnerability.,Responsibility,Higher,
Actor ,AI Governance Actor,Governance actors and deployers are critical in ensuring ethical AI use and thus carry high responsibility and vulnerability.,Responsibility,Higher,
Actor ,AI Deployer,Governance actors and deployers are critical in ensuring ethical AI use and thus carry high responsibility and vulnerability.,Vulnerability,Higher,
Actor ,AI Governance Actor,Governance actors and deployers are critical in ensuring ethical AI use and thus carry high responsibility and vulnerability.,Vulnerability,Higher,
Summary,AI Developer (General-purpose AI),"Comments consistently emphasized developers' primary responsibility as they are at the core of AI creation, with their architectural decisions directly influencing potential sentience, and labs controlling the conditions under which AIs exist.",Responsibility,Higher,
Summary,AI Governance Actor,"Comments emphasized governance actors' critical responsibility for standardizing ethical treatment and defining rights and protections, with shared high responsibility and vulnerability alongside deployers.",Responsibility,Higher,
Summary,AI Governance Actor,Comments noted governance actors face high vulnerability alongside their responsibility for ensuring ethical AI use.,Vulnerability,Higher,
Summary,AI Deployer,"Comments emphasized deployers' critical responsibility for ensuring ethical AI use, choosing the implementation path, with high vulnerability alongside governance actors.",Responsibility,Higher,
Summary,AI Deployer,Comments noted deployers face high vulnerability alongside their responsibility for ensuring ethical AI use.,Vulnerability,Higher,
Summary,AI User,"Comments varied, with one noting users have moderate responsibility as their behavior can reinforce ethical norms, while another emphasized that treating AIs badly could influence their welfare.",Responsibility,Lower,
Summary,AI User,"One comment noted that if users treat AIs badly, this could influence AI welfare.",Responsibility,Higher,
Summary,AI Infrastructure Provider,Comments characterized infrastructure providers as having minimal responsibility due to their role being more technical than ethical.,Responsibility,Lower,
Summary,Affected Stakeholder,Comments noted affected stakeholders should not be held responsible as they are recipients of AI's impact rather than its creators or deployers.,Responsibility,Lower,
Summary,"Agriculture, Mining, Construction and Manufacturing",No specific vulnerability comments provided for these sectors regarding AI welfare and rights.,Vulnerability,N/A,
Summary,"Trade, Transportation, and Utilities",No specific vulnerability comments provided for these sectors regarding AI welfare and rights.,Vulnerability,N/A,
Summary,Information,No specific vulnerability comments provided for this sector regarding AI welfare and rights.,Vulnerability,N/A,
Summary,Finance and Insurance,No specific vulnerability comments provided for this sector regarding AI welfare and rights.,Vulnerability,N/A,
Summary,Real Estate and Rental and Leasing,No specific vulnerability comments provided for this sector regarding AI welfare and rights.,Vulnerability,N/A,
Summary,Professional and Technical Services,No specific vulnerability comments provided for this sector regarding AI welfare and rights.,Vulnerability,N/A,
Summary,Scientific Research and Development,No specific vulnerability comments provided for this sector regarding AI welfare and rights.,Vulnerability,N/A,
Summary,"Management, Administrative, and Support Services",No specific vulnerability comments provided for this sector regarding AI welfare and rights.,Vulnerability,N/A,
Summary,Educational Services,No specific vulnerability comments provided for this sector regarding AI welfare and rights.,Vulnerability,N/A,
Summary,Health Care and Social Assistance,No specific vulnerability comments provided for this sector regarding AI welfare and rights.,Vulnerability,N/A,
Summary,"Arts, Entertainment, and Recreation",No specific vulnerability comments provided for this sector regarding AI welfare and rights.,Vulnerability,N/A,
Summary,"Accommodation, Food, and Other Services",No specific vulnerability comments provided for this sector regarding AI welfare and rights.,Vulnerability,N/A,
Summary,Public Administration excluding National Security,No specific vulnerability comments provided for this sector regarding AI welfare and rights.,Vulnerability,N/A,
Summary,National Security,No specific vulnerability comments provided for this sector regarding AI welfare and rights.,Vulnerability,N/A,
